Date,Open,High,Low,Close,Adj Close,Volume
"Sep 03, 2025",86.50,87.61,85.33,85.33,85.24,"1,106,500"
"Sep 02, 2025",83.41,86.58,82.60,85.96,85.83,"1,445,200"
"Aug 29, 2025",83.72,86.31,83.35,84.32,84.20,"1,143,300"
"Aug 28, 2025",82.49,83.39,81.60,83.26,83.14,"1,442,100"
"Aug 27, 2025",85.11,85.74,79.89,81.73,81.61,"3,175,500"
"Aug 26, 2025",81.66,82.84,81.57,82.49,82.37,"2,366,700"
"Aug 25, 2025",80.35,82.11,79.65,81.60,81.48,"1,483,300"
"Aug 22, 2025",76.58,80.34,76.58,79.87,79.75,"961,900"
"Aug 21, 2025",75.20,76.49,75.01,76.37,76.26,"1,066,000"
"Aug 20, 2025",76.11,77.24,75.81,75.90,75.79,"1,072,200"
"Aug 19, 2025",76.96,78.13,76.16,76.17,76.06,"771,500"
"Aug 18, 2025",76.43,77.00,76.18,76.24,76.13,"1,103,600"
"Aug 15, 2025",76.82,77.15,76.06,76.89,76.78,"768,600"
"Aug 14, 2025",75.89,76.35,75.18,76.11,76.00,"782,100"
"Aug 13, 2025",74.33,77.71,74.21,77.48,77.37,"1,093,200"
"Aug 12, 2025",72.78,74.40,72.16,73.86,73.75,"970,400"
"Aug 11, 2025",73.26,74.00,71.80,71.84,71.73,"897,900"
"Aug 08, 2025",73.39,73.90,72.17,72.90,72.79,"790,500"
"Aug 07, 2025",75.81,75.85,72.62,73.74,73.63,"962,500"
"Aug 06, 2025",74.42,75.48,74.39,74.71,74.60,"727,900"
"Aug 05, 2025",74.30,75.18,73.85,74.40,74.29,"681,900"
"Aug 04, 2025",72.50,74.64,72.05,74.47,74.36,"939,000"
"Aug 01, 2025",71.86,71.86,69.63,71.36,71.25,"1,155,600"
"Jul 31, 2025",73.72,74.32,73.09,73.42,73.31,"967,700"
"Jul 30, 2025",75.84,76.19,73.89,74.86,74.75,"983,700"
"Jul 29, 2025",76.92,77.10,74.64,75.28,75.17,"1,111,700"
"Jul 28, 2025",76.79,77.66,75.87,76.93,76.82,"1,219,200"
"Jul 25, 2025",76.63,77.00,75.26,76.85,76.74,"772,000"
"Jul 24, 2025",76.53,78.07,75.51,76.20,76.09,"888,000"
"Jul 23, 2025",77.93,78.98,77.30,77.45,77.34,"1,020,200"
"Jul 22, 2025",74.87,77.03,74.17,76.34,76.23,"1,440,000"
"Jul 21, 2025",72.00,74.40,71.76,73.27,73.16,"975,500"
"Jul 18, 2025",72.09,72.42,70.90,71.39,71.28,"978,400"
"Jul 17, 2025",71.21,71.96,70.53,71.67,71.56,"783,700"
"Jul 16, 2025",70.79,71.63,70.09,71.41,71.30,"801,900"
"Jul 15, 2025",72.77,73.07,70.56,70.60,70.50,"1,236,600"
"Jul 14, 2025",72.61,72.86,71.26,72.35,72.24,"1,371,800"
"Jul 11, 2025",73.74,74.22,72.93,73.49,73.38,"1,008,400"
"Jul 10, 2025",72.58,75.34,72.58,74.30,74.19,"1,132,100"
"Jul 09, 2025",72.72,73.28,71.28,72.59,72.48,"1,504,200"
"Jul 08, 2025",73.54,74.51,71.96,73.85,73.74,"1,226,100"
"Jul 07, 2025",72.35,73.33,71.89,73.02,72.91,"1,419,000"
"Jul 03, 2025",73.00,73.64,71.97,72.44,72.33,"774,300"
"Jul 02, 2025",72.24,73.57,70.14,73.15,73.04,"1,889,000"
"Jul 01, 2025",68.44,73.19,68.12,71.59,71.48,"2,428,900"
"Jun 30, 2025",67.81,69.38,67.50,68.60,68.50,"2,536,200"
"Jun 27, 2025",65.99,66.67,65.14,65.74,65.64,"1,743,900"
"Jun 26, 2025",63.48,65.14,63.35,65.08,64.98,"1,288,900"
"Jun 25, 2025",63.68,64.18,63.22,63.49,63.40,"1,159,300"
"Jun 24, 2025",64.21,65.00,63.44,63.99,63.90,"1,175,500"
"Jun 23, 2025",63.41,63.67,61.72,63.29,63.20,"2,118,600"
"Jun 20, 2025",65.25,66.13,63.71,64.63,64.53,"3,276,200"
"Jun 18, 2025",64.29,65.68,64.29,64.85,64.75,"1,676,900"
"Jun 17, 2025",64.19,65.42,63.50,64.12,64.03,"1,553,100"
"Jun 16, 2025",63.57,65.25,63.51,65.15,65.05,"1,674,100"
"Jun 13, 2025",63.15,64.46,62.02,62.70,62.61,"1,918,500"
"Jun 12, 2025",65.07,65.45,63.78,64.19,64.10,"1,958,600"
"Jun 11, 2025",65.96,67.05,65.75,65.80,65.70,"1,646,700"
"Jun 10, 2025",65.90,66.61,64.86,65.11,65.01,"1,701,300"
"Jun 09, 2025",65.99,66.42,64.52,65.32,65.22,"3,048,500"
"Jun 06, 2025",66.46,68.10,65.37,65.40,65.30,"4,163,900"
"Jun 05, 2025",70.04,71.44,65.25,66.30,66.20,"11,777,200"
"Jun 04, 2025",82.46,82.80,80.50,80.81,80.69,"2,548,800"
"Jun 03, 2025",81.78,83.15,80.46,82.54,82.38,"1,269,100"
"Jun 02, 2025",83.89,83.89,81.56,82.13,81.97,"1,598,900"
"May 30, 2025",84.28,85.09,83.07,83.77,83.61,"1,329,600"
"May 29, 2025",87.53,87.55,83.74,84.82,84.66,"1,033,700"
"May 28, 2025",87.60,87.90,86.19,86.61,86.44,"1,020,100"
"May 27, 2025",84.04,86.59,83.00,86.53,86.36,"1,232,000"
"May 23, 2025",80.36,82.78,79.60,81.99,81.83,"1,307,100"
"May 22, 2025",82.15,83.60,81.82,83.32,83.16,"1,336,500"
"May 21, 2025",83.59,85.06,82.91,83.17,83.01,"1,400,900"
"May 20, 2025",85.14,86.95,84.86,85.78,85.61,"976,800"
"May 19, 2025",84.79,85.76,84.00,84.71,84.55,"815,900"
"May 16, 2025",85.53,87.41,85.51,86.30,86.13,"1,508,300"
"May 15, 2025",86.22,87.18,84.36,85.40,85.23,"1,426,400"
"May 14, 2025",85.81,87.93,85.14,87.28,87.11,"3,781,300"
"May 13, 2025",79.76,80.76,79.33,80.50,80.34,"1,206,300"
"May 12, 2025",78.91,83.32,78.44,78.94,78.79,"1,317,700"
"May 09, 2025",75.48,76.01,74.22,74.45,74.31,"637,300"
"May 08, 2025",73.30,76.81,72.93,75.56,75.41,"1,173,800"
"May 07, 2025",71.65,72.55,71.08,71.25,71.11,"858,600"
"May 06, 2025",70.67,72.16,70.40,70.84,70.70,"780,200"
"May 05, 2025",69.95,72.94,69.95,71.59,71.45,"1,103,600"
"May 02, 2025",69.93,71.17,69.14,70.24,70.10,"961,300"
"May 01, 2025",69.36,70.03,68.40,68.71,68.58,"773,300"
"Apr 30, 2025",67.78,69.25,66.84,68.98,68.85,"1,066,400"
"Apr 29, 2025",70.33,70.73,69.74,69.87,69.73,"829,200"
"Apr 28, 2025",72.96,73.67,70.68,71.11,70.97,"1,067,800"
"Apr 25, 2025",74.51,74.51,72.11,72.94,72.80,"789,000"
"Apr 24, 2025",72.91,75.23,72.30,74.62,74.48,"836,000"
"Apr 23, 2025",74.52,75.82,71.81,71.97,71.83,"1,311,200"
"Apr 22, 2025",70.03,72.36,69.75,71.66,71.52,"1,007,700"
"Apr 21, 2025",68.16,69.80,67.84,69.40,69.27,"1,018,400"
"Apr 17, 2025",67.64,69.03,67.56,68.92,68.79,"1,035,700"
"Apr 16, 2025",67.66,69.99,66.98,67.74,67.61,"1,275,200"
"Apr 15, 2025",69.98,71.00,68.17,68.51,68.38,"1,138,600"
"Apr 14, 2025",70.95,71.99,68.93,70.29,70.15,"1,577,200"
"Apr 11, 2025",68.31,70.06,66.71,68.88,68.75,"1,635,900"
"Apr 10, 2025",68.79,69.73,66.53,69.15,69.02,"2,232,800"
"Apr 09, 2025",59.89,73.35,59.33,70.70,70.56,"2,937,300"
"Apr 08, 2025",67.00,68.57,59.28,60.50,60.38,"2,338,500"
"Apr 07, 2025",65.25,69.79,63.51,65.98,65.85,"2,576,800"
"Apr 04, 2025",61.89,68.44,61.59,67.72,67.59,"3,293,600"
"Apr 03, 2025",73.05,73.33,64.92,65.61,65.48,"3,542,900"
